dataset,n,adj_r2,r2,rmse_log,median_ratio,COD,PRD,median_abs_error_pct,mape,outlier_share_pct,smearing_factor,skew_adj,fit_type,neighborhood_code,coefficients,level
sfr_n20BALGER,311,,,0.37616816708802786,1.0212986032855358,8.050481940375356,1.221818288624676,8.239734080613337,11.124078857937242,6.430868167202572,1.0134418859405623,0.95,RLM(Huber),20BALGER,"{'log_area': {'coefficient': -1112.8701075071865, 'pct_change': -100.0, 'pvalue': 0.07832026345784195, 'significant': False}, 'log_age': {'coefficient': -0.04404537515427756, 'pct_change': -4.308946347528664, 'pvalue': 0.811997609601815, 'significant': False}, 'quality_score_clean': {'coefficient': 1.1145238225507104, 'pct_change': 204.81163892679265, 'pvalue': 0.10153879702810659, 'significant': False}, 'log_land_value': {'coefficient': -0.05448144065798588, 'pct_change': -5.302391605224532, 'pvalue': 0.9451600556749196, 'significant': False}, 'land_area_interaction': {'coefficient': -0.2600948619002592, 'pct_change': -22.902155414590876, 'pvalue': 0.9300448047693489, 'significant': False}}",neighborhood
sfr_n20BBAYHLCC,662,,,0.452968097698927,1.0134579593167565,6.090542137538425,1.1770981094717097,6.280703459155179,8.199062406559777,4.229607250755287,1.0321705155871874,0.95,RLM(Huber),20BBAYHLCC,"{'log_area': {'coefficient': -1103.2569905767523, 'pct_change': -100.0, 'pvalue': 0.02427784742853811, 'significant': True}, 'log_age': {'coefficient': 0.41992431508754735, 'pct_change': 52.18463704504852, 'pvalue': 8.806199899085228e-05, 'significant': True}, 'quality_score_clean': {'coefficient': 0.715827993753945, 'pct_change': 104.58799569770711, 'pvalue': 0.08998177894471146, 'significant': False}, 'log_land_value': {'coefficient': -0.09506927856944253, 'pct_change': -9.069006340553177, 'pvalue': 0.8042454531453164, 'significant': False}, 'land_area_interaction': {'coefficient': -0.008535535893471113, 'pct_change': -0.8499211629466208, 'pvalue': 0.9966997054278273, 'significant': False}}",neighborhood
sfr_n20BBAYVIEW,230,,,0.6501209670984553,0.9863148810167199,6.672940677219091,1.241980913370636,6.5592582089475435,11.522486917086788,8.26086956521739,1.1068390313520056,0.95,RLM(Huber),20BBAYVIEW,"{'log_area': {'coefficient': 966.6539652113756, 'pct_change': inf, 'pvalue': 0.18984595154560813, 'significant': False}, 'log_age': {'coefficient': -0.8273122781561847, 'pct_change': -56.27771580976187, 'pvalue': 1.7136892883144957e-05, 'significant': True}, 'quality_score_clean': {'coefficient': -1.4223747342277957, 'pct_change': -75.88593086349123, 'pvalue': 0.18284152717463253, 'significant': False}, 'log_land_value': {'coefficient': 2.0772116953870965, 'pct_change': 698.2181103741246, 'pvalue': 0.02904718671713237, 'significant': True}, 'land_area_interaction': {'coefficient': -6.1915017480198005, 'pct_change': -99.79532492597151, 'pvalue': 0.06119519851218729, 'significant': False}}",neighborhood
sfr_n20BBOW,280,,,0.3131098253866865,1.0087262736350555,7.7834522955616645,1.2133103139869783,7.422207948598958,9.697774129101273,6.428571428571428,1.023413929665597,0.95,RLM(Huber),20BBOW,"{'log_area': {'coefficient': 830.9211816807638, 'pct_change': inf, 'pvalue': 0.14175207932632866, 'significant': False}, 'log_age': {'coefficient': -0.1400254977633022, 'pct_change': -13.066393100910712, 'pvalue': 0.47851331574385814, 'significant': False}, 'quality_score_clean': {'coefficient': -0.4743265780460746, 'pct_change': -37.7696011441936, 'pvalue': 0.4521018412088751, 'significant': False}, 'log_land_value': {'coefficient': -0.6229758361368312, 'pct_change': -46.36540173527229, 'pvalue': 0.3549554409466028, 'significant': False}, 'land_area_interaction': {'coefficient': 1.761022528010102, 'pct_change': 481.8383814117575, 'pvalue': 0.3381021823107886, 'significant': False}}",neighborhood
sfr_n20BCENTRAL,657,,,0.5603793001211116,1.008361286278113,6.109938617009279,1.1814367882733503,6.154300985057725,8.818619530385677,4.71841704718417,1.0455450497009173,0.95,RLM(Huber),20BCENTRAL,"{'log_area': {'coefficient': -8.964459883545175, 'pct_change': -99.9872125326062, 'pvalue': 0.9533164613729658, 'significant': False}, 'log_age': {'coefficient': -0.1720964751569259, 'pct_change': -15.810205298614388, 'pvalue': 0.4659997381180935, 'significant': False}, 'quality_score_clean': {'coefficient': -0.2733330404156156, 'pct_change': -23.916064482541234, 'pvalue': 0.5465530335640039, 'significant': False}, 'log_land_value': {'coefficient': -0.839642008313683, 'pct_change': -56.81349001257468, 'pvalue': 0.09104905829402005, 'significant': False}, 'land_area_interaction': {'coefficient': 2.1936901841134766, 'pct_change': 796.8246608536213, 'pvalue': 0.2133958927460179, 'significant': False}}",neighborhood
sfr_n20BEASTBUR,1316,,,0.46979439338512646,1.004583303889309,6.470379372306597,1.2007638968012526,6.596240769514733,8.637623079564278,5.395136778115502,1.039144906699746,0.95,RLM(Huber),20BEASTBUR,"{'log_area': {'coefficient': -68.65636164743682, 'pct_change': -100.0, 'pvalue': 0.6507614534091481, 'significant': False}, 'log_age': {'coefficient': -0.206050425615516, 'pct_change': -18.62079607162115, 'pvalue': 0.04745200031950397, 'significant': True}, 'quality_score_clean': {'coefficient': -0.3967781209843597, 'pct_change': -32.75167810047277, 'pvalue': 0.29030431246419774, 'significant': False}, 'log_land_value': {'coefficient': -2.059027627209197, 'pct_change': -87.24220370588111, 'pvalue': 1.8169829382386325e-10, 'significant': True}, 'land_area_interaction': {'coefficient': 7.585313454047693, 'pct_change': 196806.37482114008, 'pvalue': 1.4828237343017136e-09, 'significant': True}}",neighborhood
sfr_n20BSAMISH,81,,,0.289104822407202,0.9541972040373986,1.7620655683191537,1.0988788240822267,4.976693602552307,7.04836560044026,2.4691358024691357,1.0962207310662004,1.05,RLM(Huber),20BSAMISH,"{'log_area': {'coefficient': -67029.75806305144, 'pct_change': -100.0, 'pvalue': 3.2442922541027237e-53, 'significant': True}, 'log_age': {'coefficient': -6.758835548786056, 'pct_change': -99.88394201740451, 'pvalue': 0.0, 'significant': True}, 'quality_score_clean': {'coefficient': -9.071877525594743, 'pct_change': -99.98851492990414, 'pvalue': 4.952187643523962e-32, 'significant': True}, 'log_land_value': {'coefficient': -3.0987980719672805, 'pct_change': -95.4896619154456, 'pvalue': 7.753268411810478e-05, 'significant': True}, 'land_area_interaction': {'coefficient': 8.447231764195365, 'pct_change': 466114.892810234, 'pvalue': 0.00277616874089754, 'significant': True}}",neighborhood
sfr_n20BURAGRES,299,,,0.7086568532310907,0.9850050181400296,11.444908753265528,1.3364752531284199,11.41319935769648,14.632748560879739,14.381270903010032,1.1306051577475356,0.95,RLM(Huber),20BURAGRES,"{'log_area': {'coefficient': 1477.508696171395, 'pct_change': inf, 'pvalue': 0.1665649565969496, 'significant': False}, 'log_age': {'coefficient': -0.9553745130647543, 'pct_change': -61.53319456391188, 'pvalue': 0.0008471643102409972, 'significant': True}, 'quality_score_clean': {'coefficient': -2.4125983678595295, 'pct_change': -91.04177756702181, 'pvalue': 0.0385498177240925, 'significant': True}, 'log_land_value': {'coefficient': 0.8286768874193082, 'pct_change': 129.0286427875109, 'pvalue': 0.5812422529957385, 'significant': False}, 'land_area_interaction': {'coefficient': -2.656341605505489, 'pct_change': -92.979541140641, 'pvalue': 0.5271280996818528, 'significant': False}}",neighborhood
sfr_n20BWESTBUR,352,,,0.4482774790760953,1.023896418261955,5.793359238252567,1.1566300609493672,6.173272892506798,7.620795476423653,3.4090909090909087,1.0051896664092335,0.95,RLM(Huber),20BWESTBUR,"{'log_area': {'coefficient': 722.3974658311772, 'pct_change': inf, 'pvalue': 0.005039930683253524, 'significant': True}, 'log_age': {'coefficient': -0.0533570656814554, 'pct_change': -5.1958561023050525, 'pvalue': 6.9988590989451066e-09, 'significant': True}, 'quality_score_clean': {'coefficient': -2.991386502078047e-08, 'pct_change': -2.991386460760026e-06, 'pvalue': 4.548915065547685e-09, 'significant': True}, 'log_land_value': {'coefficient': -0.6852822723557743, 'pct_change': -49.60520410813181, 'pvalue': 0.33299583637938135, 'significant': False}, 'land_area_interaction': {'coefficient': 1.737943045943286, 'pct_change': 468.56362936473, 'pvalue': 0.3948464178644796, 'significant': False}}",neighborhood
sfr_n20CCCHORN,89,,,0.4887895883248663,1.0363238224720546,3.7887539939967256,1.1520144152019716,4.822950822485295,9.117550628459876,6.741573033707865,1.0023719388480026,0.95,RLM(Huber),20CCCHORN,"{'log_area': {'coefficient': -11841.317211053933, 'pct_change': -100.0, 'pvalue': 1.5807127941143976e-05, 'significant': True}, 'log_age': {'coefficient': -0.0808837488512223, 'pct_change': -7.7699096247709765, 'pvalue': 0.6677723770700162, 'significant': False}, 'quality_score_clean': {'coefficient': -6.703887158062129, 'pct_change': -99.87738635589525, 'pvalue': 5.989562973943032e-05, 'significant': True}, 'log_land_value': {'coefficient': -0.9307584094338097, 'pct_change': -60.57454094425074, 'pvalue': 0.4524537079132328, 'significant': False}, 'land_area_interaction': {'coefficient': 1.8791556370229494, 'pct_change': 554.7973660815045, 'pvalue': 0.5011255455326191, 'significant': False}}",neighborhood
